observable,value,target,delta_pct
global_uncompensated_width_scale,0.8685280247,1,-13.1471975284
global_compensated_signal_strength,1,1,0
branching_ratios_after_common_time_factor,1,1,0
proper_universal_kappa_needed,1.0730206547,bridge_parameter,
