channel,BR_SM_ref,Gamma_SM_MeV,tau_core_to_lab,Gamma_lab_uncomp_MeV,Gamma_proper_required_MeV,universal_kappa_proper,Gamma_lab_compensated_MeV,BR_lab_compensated,BR_delta_pct_compensated
bb,0.582384276,2.370304,0.8685280247,2.058640329,2.727085339,1.073020655,2.370304,0.582384276,0
WW,0.21369423,0.8697355161,0.8685280247,0.7553965344,1.001389143,1.073020655,0.8697355161,0.21369423,0
gg,0.0817977915,0.3329170114,0.8685280247,0.2891485464,0.3833121225,1.073020655,0.3329170114,0.0817977915,0
tau,0.0626983071,0.2551821100,0.8685280247,0.2216310609,0.2938103976,1.073020655,0.2551821100,0.0626983071,0
cc,0.028999217,0.1180268132,0.8685280247,0.1025095836,0.1358930666,1.073020655,0.1180268132,0.028999217,0
ZZ,0.0263992872,0.1074450989,0.8685280247,0.0933188905,0.1237382008,1.073020655,0.1074450989,0.0263992872,0
gamma,0.00226993871,0.0092386506,0.8685280247,0.0080241922,0.0106371317,1.073020655,0.0092386506,0.00226993871,0
Zgamma,0.00153995842,0.0062676308,0.8685280247,0.0054436967,0.0072151757,1.073020655,0.0062676308,0.00153995842,0
mumu,0.000216994141,0.0008831662,0.8685280247,0.0007671128,0.0010161682,1.073020655,0.0008831662,0.000216994141,0
