kappa,value
kappa_b,1
kappa_W,1
kappa_Z,1
kappa_g,1
kappa_tau,1
kappa_c,1
kappa_gamma,1
kappa_Zgamma,1
kappa_mu,1
kappa_top,1
BR_BSM,0
