channel,v049_proxy_or_split,SM_BR_ref,kappa_geometry_prior,kappa_fit_used,prior_delta_pct
bb,0.581674,0.582384276,0.999390014,1,-0.121959959
WW,0.21738924,0.21369423,1.0086085,1,1.72911063
ZZ,0.0268557601,0.0263992872,1.0086085,1,1.72911063
gg,0.104854,0.0817977915,1.13219625,1,28.186835
tau,0.064263,0.0626983071,1.01240106,1,2.49559027
gamma,0.001234,0.00226993871,0.737310662,1,-45.6372988
mumu,0.00192,0.000216994141,2.97458655,1,784.816516
