channel,BR_SM_ref,Gamma_SM_MeV,depth,spin_sensitivity,tau_channel,Gamma_lab_MeV,Gamma_lab_compensated_MeV,BR_lab_compensated,BR_delta_pct_compensated,kappa_effective_channel,note
bb,0.582384276,2.370304,0.25,-0.01,0.9658600866,2.289376738,2.349900,0.577371,-0.860789,0.995979,deep core mass capture
WW,0.21369423,0.869735517,0.08,0.02,0.9920841455,0.862850,0.885659,0.217607,1.830883,1.008108,outer coherent shell
gg,0.0817977915,0.332917011,0.16,0.05,0.9854002958,0.328056,0.336730,0.082734,1.144792,1.005422,turbulent connector rotation
tau,0.0626983071,0.25518211,0.22,-0.005,0.9704378576,0.247638,0.254183,0.062453,-0.390957,0.998048,inner retained sideband
cc,0.028999217,0.118026813,0.24,-0.005,0.9678084181,0.114226,0.117246,0.028808,-0.660675,0.996691,inner mass capture
ZZ,0.0263992872,0.107445099,0.08,0.02,0.9920841455,0.106595,0.109413,0.026883,1.830883,1.008108,outer coherent shell
gamma,0.00226993871,0.009238651,0.03,0.08,1.006532273,0.009299,0.009545,0.002345,3.313884,1.016401,surface transverse ripple
Zgamma,0.00153995842,0.006267631,0.04,0.06,1.002588102,0.006284,0.006450,0.001585,2.909042,1.014410,surface mixed ripple
mumu,0.000216994141,0.000883166,0.27,-0.01,0.9632348939,0.000851,0.000873,0.000215,-1.130329,0.994332,deep small sideband
