production,mu_min,mu_max,delta_pct_min,delta_pct_max,delta_pct_mean
VBF,1.006799,1.052054,0.679859,5.205441,2.610496
VH,1.006799,1.052054,0.679859,5.205441,2.610496
ggF,1.000015,1.044966,0.001523,4.496613,1.919152
ttH,0.980186,1.024246,-1.981388,2.424570,-0.101783
