harmonic_n,k_1_per_Mpc,wavelength_Mpc,shell_power_pre,mode_count,shell_power_post,spatial_transfer_raw,spatial_transfer
1,0.010169165905199931,617.866338867254,2138794794.1487706,18,11469301.057464214,0.00536250653351199,0.00536250653351199
2,0.020338331810399863,308.933169433627,1.5321552133226405e-23,62,27095.441849292933,1.7684528051523974e+27,1.0
3,0.030507497715599796,205.95544628908465,3.30776203440044e-23,98,7019.575845199279,2.122152613215913e+26,1.0
4,0.040676663620799726,154.4665847168135,132452506.18049884,210,124587517.5553776,0.9406203109935627,0.9406203109935627
5,0.050845829525999656,123.5732677734508,6.4777553886306605e-24,350,1579.6433726654648,2.4385659505419937e+26,1.0
6,0.06101499543119959,102.97772314454232,3.98280310019957e-25,450,305.52625711389794,7.671136368719524e+26,1.0
7,0.07118416133639952,88.26661983817914,2.504398551673759e-25,602,85.26947367684315,3.40478849182592e+26,1.0
8,0.08135332724159945,77.23329235840674,3157669.479550351,762,3062968.1782456185,0.9700091152927703,0.9700091152927703
