channel,delta_pct
bb,-4.496343455930
WW,6.370334791187
gg,8.247648934427
tau,3.774553414743
cc,4.043520377338
ZZ,7.629453287118
gamma,6.698040252324
Zgamma,7.162734843623
mumu,5.036301710311
