metric,flat,single_defect_half
w1,1.000000000000,0.500000000000
w2,1.000000000000,1.000000000000
w3,1.000000000000,1.000000000000
w4,1.000000000000,1.000000000000
q11,1.000000000000,0.875000000000
q22,1.000000000000,0.875000000000
q33,1.000000000000,0.875000000000
q12,0.000000000000,-0.125000000000
q13,0.000000000000,-0.125000000000
q23,0.000000000000,-0.125000000000
eig_min,1.000000000000,0.625000000000
eig_max,1.000000000000,1.000000000000
anisotropy,0.000000000000,0.600000000000
frob_delta_I,0.000000000000,0.375000000000
determinant,1.000000000000,0.625000000000
max_tick_ratio,1.000000000000,1.414213562373
