channel,BR_SM_ref,BR_raw_3d,delta_pct_raw_vs_SM,abs_delta_pct,kappa_eff_sq_raw,kappa_eff_raw,criterion_10pct
bb,0.582384276,0.6197557475800611,6.4169781225448395,6.4169781225448395,1.0641697812254485,1.0315860512945338,PASS_10PCT
WW,0.21369423,0.2132014094097443,-0.2306195119333406,0.2306195119333406,0.9976938048806666,0.9988462368556367,PASS_10PCT
gg,0.0817977915,0.0688832690776304,-15.788350987898733,15.788350987898733,0.8421164901210126,0.917669052611568,FAIL
tau,0.0626983071,0.0712617023835817,13.658096493616014,13.658096493616014,1.1365809649361602,1.066105513040881,FAIL
cc,0.028999217,0.0,-100.0,100.0,0.0,0.0,FAIL
ZZ,0.0263992872,0.026650176176218,0.9503626909214427,0.9503626909214427,1.0095036269092144,1.0047405769198408,PASS_10PCT
gamma,0.00226993871,0.0000017195969070847837,-99.92424478689625,99.92424478689625,0.0007575521310373986,0.027523664927429244,FAIL
Zgamma,0.00153995842,0.0000006091348074004856,-99.96044472373478,99.96044472373478,0.00039555276265217966,0.019888508306360728,FAIL
mumu,0.000216994141,0.0002453666410498,13.075237846997902,13.075237846997902,1.1307523784699791,1.063368411450133,FAIL
