point,z,reference_H,sigma_H,model_H,residual,mode
H0_anchor,0.0,67.4,0.5,67.4,0.0,anchor
H075_raw,0.75,105.0,10.756393447619885,156.66381928473376,4.80308009709013,raw_3d
H075_transfer,0.75,105.0,10.756393447619885,103.8977087338893,-0.10247777486743069,transfer_3d
H075_LCDM_pct,0.75,103.83107544528758,,103.8977087338893,0.06417470715386465,percent_delta
