channel,raw_3d_BR,target_SM_BR,calibration_width_factor_needed,calibration_kappa_factor_needed
bb,0.6197557475800611,0.582384276,0.9396996772906354,0.9693810794989942
WW,0.2132014094097443,0.21369423,1.0023115259491957,1.0011550958513848
gg,0.0688832690776304,0.0817977915,1.1874841684388575,1.089717471842522
tau,0.0712617023835817,0.0626983071,0.8798317329343698,0.9379934610296438
cc,0.0,0.028999217,inf,inf
ZZ,0.026650176176218,0.0263992872,0.9905858417385666,0.9952817901170334
gamma,0.0000017195969070847837,0.00226993871,1320.0411681643495,36.33237080296784
Zgamma,0.0000006091348074004856,0.00153995842,2528.1077378780114,50.280291744161666
mumu,0.0002453666410498,0.000216994141,0.8843669215651794,0.9404078485238091
