channel,ref,before_delta_pct,stress,tau,blind_delta_pct
bb,0.582384276,2.242759088822,0.900000000000,0.733389162881,-4.496343455930
WW,0.213694230,-4.144085712190,0.400000000000,0.871261776685,6.370334791187
gg,0.0817977915,-10.502732930255,0.150000000000,0.949632890618,8.247648934427
tau,0.0626983071,9.199843702656,0.850000000000,0.746132410918,3.774553414743
cc,0.0289992170,-1.268058293793,0.550000000000,0.827378839478,4.043520377338
ZZ,0.0263992872,-3.009427681254,0.400000000000,0.871261776685,7.629453287118
gamma,0.00226993871,-7.105073417590,0.300000000000,0.901802626943,6.698040252324
Zgamma,0.00153995842,-5.079337893502,0.350000000000,0.886400676314,7.162734843623
mumu,0.000216994141,8.639847758021,0.800000000000,0.759097083513,5.036301710311
