channel,shape_fraction,rough_higgs_target_fraction,ratio_to_target,absolute_delta
bb_like,0.7834740730278179,0.582,1.346175383209309,0.2014740730278179
WZ_like,0.12017363034638004,0.24,0.5007234597765835,-0.11982636965361995
gg_like,0.05698412744468452,0.086,0.6626061320300525,-0.029015872555315475
tau_like,0.038445431653158064,0.063,0.610244946875525,-0.024554568346841936
gamma_like,0.00024200582506315758,0.0023,0.1052199239405033,-0.0020579941749368424
mumu_like,0.0006807317028962946,0.00022,3.0942350131649754,0.00046073170289629456
