channel,fraction
bb,0.6197557475800611
WW,0.21320140940974433
ZZ,0.02665017617621804
gg,0.06888326907763045
tau,0.07126170238358175
gamma,0.0000017195969070847835
Zgamma,0.0000006091348074004856
mumu,0.0002453666410498422
