component,raw_fraction,after_transfer
visible,0.5425994730223833,0.17278483860288535
hidden,0.4466009416903723,0.14221516139711463
rotation,0.001410061756313143,0.000027064835998834578
sound,0.009268661094106002,0.00033640037572088793
radiation,0.00012086243682521869,0.00000018245286579379906
smooth_lapse_reservoir,0,0.6846363523354145
