metric,value
verdict,FLOP_EXPLODES
criteria_pass_count,8
criteria_total,12
entanglement_score,0.292811
entanglement_threshold,0.280000
merged_mass,2.000000
merged_radius,7.559526
coherence_capacity,0.526780
E_mass_added,0.500000
E_vib_seed,1.139518
explosion_pressure_0,2.163178
max_explode_index,3.544722
weighted_shell_radius,7.985898
weighted_sphericity,0.828023
weighted_anisotropy,0.171977
weighted_core_fraction,0.475223
weighted_inner_fraction,0.412373
weighted_outer_fraction,0.112404
