channel,fraction,rough_target,delta
bb_like,0.205855,0.582000,-0.376145
WZ_like,0.519062,0.240000,0.279062
gg_like,0.206559,0.086000,0.120559
tau_like,0.053204,0.063000,-0.009796
gamma_like,0.014296,0.002300,0.011996
mumu_like,0.001023,0.000220,0.000803
