component,raw_effective_density,normalized_fraction,redshift_exponent_n,equation_of_state_w_proxy
visible_matter,0.648453,0.6163564841802751,3.0,0.0
hidden_sink_grav,0.187892298288,0.17859218228205162,3.0,0.0
rotation_load,0.10033708803300001,0.0953706973564879,4.0,0.33333333333333326
radiation,0.054259,0.05157333912425041,4.0,0.33333333333333326
acoustic_shell,0.061133211162,0.058107297056935,4.016290731468,0.338763577156
