milestone,actual_years,scaled_toy_years,visible_sum,dark_sum,visible_dark_raw_ratio,visible_dark_weighted_ratio,target_planck_baryon_cdm_ratio,weighted_ratio_error_fraction,weighted_ratio_verdict
1B,1000000000,200000.0,4183.18292437833,5476.423983253571,0.7638530064819927,1.0184706753093238,0.18666666666666668,4.456092903442806,FAIL
2B,2000000000,400000.0,4941.794294257066,33751.2002632589,0.14641832751757386,0.19522443669009845,0.18666666666666668,0.0458451965540988,PASS-LIKE
3B,3000000000,600000.0,5024.003508804479,41204.350371530745,0.12192895807127456,0.16257194409503276,0.18666666666666668,0.12907887091946743,WEAK
4B,4000000000,800000.0,5032.9123588756065,43168.97941001812,0.11658631794541872,0.15544842392722497,0.18666666666666668,0.16724058610415202,WEAK
5B,5000000000,1000000.0,5033.8777933469955,43686.850002022446,0.11522638489875,0.15363517986499997,0.18666666666666668,0.17695439358035733,WEAK
