channel,mcift_fraction,rough_reference,delta
bb_like,0.188928,0.582000,-0.393072
WZ_like,0.518154,0.240000,0.278154
gg_like,0.249245,0.086000,0.163245
tau_like,0.019942,0.063000,-0.043058
gamma_like,0.022681,0.002300,0.020381
mumu_like,0.001050,0.000220,0.000830
