milestone,actual_years,age_Gyr,a,z,visible_dark_weighted_ratio,planck_baryon_cdm_ratio,ratio_fractional_error,ratio_verdict
1B,1000000000,1.0,0.1502864967478887,5.653957751623807,1.0184706753093236,0.18666666666666668,4.456092903442805,FAIL
2B,2000000000,2.0,0.2389895655757891,3.1842830986814654,0.19522443669009848,0.18666666666666668,0.04584519655409895,PASS-LIKE
3B,3000000000,3.0,0.3143534544110195,2.181132530811933,0.16257194409503273,0.18666666666666668,0.12907887091946757,WEAK
4B,4000000000,4.0,0.38291676503254524,1.6115336055213123,0.15544842392722497,0.18666666666666668,0.16724058610415202,WEAK
5B,5000000000,5.0,0.44752571172314015,1.2345084847742687,0.153635179865,0.18666666666666668,0.1769543935803572,WEAK
