component,v054_fraction,v055_present_fraction,redshift_exponent_n,w_proxy
visible_matter,0.6163564841802751,0.24423249035790123,3.0,0.0
hidden_sink_matter,0.17859218228205162,0.07076750964209877,3.0,0.0
rotation_vorticity,0.0953706973564879,0.0015,4.0,0.3333333333333333
radiation,0.05157333912425041,9e-05,4.0,0.3333333333333333
acoustic_shell,0.058107297056935,0.0035,4.016290731468,0.338763577156
smooth_lapse_reservoir,0.0,0.67991,0.0,-1.0
