source_component,v054_start_fraction,v055_retained_fraction,retention_factor,transfer_to_smooth_factor
visible_matter,0.6163564841802751,0.24423249035790123,0.3962520012792903,0.6037479987207097
hidden_sink_matter,0.17859218228205162,0.07076750964209877,0.39625200127929033,0.6037479987207097
rotation_vorticity,0.0953706973564879,0.0015,0.015728101414558417,0.9842718985854416
radiation,0.05157333912425041,9e-05,0.0017450877047765346,0.9982549122952235
acoustic_shell,0.058107297056935,0.0035,0.06023339885471891,0.9397666011452811
