planet,semi_major_axis_au,period_years,mass_earth,mapped_radius,coupling_norm,visual_period,visual_orbits_per_gif
Mercury,0.387,0.241,0.055,0.478012,0.081604,0.425804,2.818195
Venus,0.723,0.615,0.815,0.635834,0.222747,0.747008,1.606409
Earth,1.0,1.0,1.0,0.744296,0.197750,1.000000,1.200000
Mars,1.524,1.881,0.107,0.913594,0.047138,1.460943,0.821387
Jupiter,5.203,11.862,317.8,1.567795,1.000000,4.410570,0.272074
Saturn,9.537,29.457,95.2,1.953292,0.362301,7.612251,0.157641
Uranus,19.191,84.017,14.5,2.426447,0.093263,14.276452,0.084054
Neptune,30.069,164.8,17.1,2.740000,0.079993,21.388204,0.056106
