channel,fraction,rough_target,delta
bb_like,0.348297,0.582000,-0.233703
WZ_like,0.168978,0.240000,-0.071022
gg_like,0.353948,0.086000,0.267948
tau_like,0.070954,0.063000,0.007954
gamma_like,0.050173,0.002300,0.047873
mumu_like,0.007651,0.000220,0.007431
