channel,fraction,rough_target,delta
bb_like,0.564218,0.582000,-0.017782
WZ_like,0.244806,0.240000,0.004806
gg_like,0.126940,0.086000,0.040940
tau_like,0.061724,0.063000,-0.001276
gamma_like,0.001107,0.002300,-0.001193
mumu_like,0.001205,0.000220,0.000985
